,index,amount,transaction_id,rate,flat_fee,product,Date 
12173,219,172,pos_1611022772919313172,0.01,2,pos,19/01/2021
5139,222,219,pos_1611029961191120219,0.01,2,pos,19/01/2021
41419,223,111,pos_1611047787887696111,0.01,2,pos,19/01/2021
34849,229,50,pos_1611131363455599050,0.01,2,pos,20/01/2021
22228,231,96,pos_1611133381429934096,0.01,2,pos,20/01/2021
19995,233,252,pos_1611124637652845252,0.01,2,pos,20/01/2021
12433,235,84,pos_1611124500931165084,0.01,2,pos,20/01/2021
17606,239,43,pos_1611220239685525043,0.01,2,pos,21/01/2021
41660,244,249,pos_1611234492270219249,0.01,2,pos,21/01/2021
45594,246,48,pos_1611237543889225048,0.01,2,pos,21/01/2021
37949,248,162,pos_1611319218871699162,0.01,2,pos,22/01/2021
44918,252,107,pos_1611334175568111107,0.01,2,pos,22/01/2021
13450,255,227,pos_1611303587818751227,0.01,2,pos,22/01/2021
25622,256,47,pos_1611376072968603047,0.01,2,pos,23/01/2021
4888,257,187,pos_1611412294213383187,0.01,2,pos,23/01/2021
7246,258,109,pos_1611394256294813109,0.01,2,pos,23/01/2021
1026,259,280,pos_1611373863374832280,0.01,2,pos,23/01/2021
9073,266,12,pos_1611423947838011012,0.01,2,pos,23/01/2021
25550,271,100,pos_1611448658268134100,0.01,2,pos,24/01/2021
15041,273,41,pos_1611488202740938041,0.01,2,pos,24/01/2021
47016,277,200,pos_1611458978714526200,0.01,2,pos,24/01/2021
37576,278,57,pos_1611487179757874057,0.01,2,pos,24/01/2021
36381,282,128,pos_1611558205464340128,0.01,2,pos,25/01/2021
11620,284,133,pos_1611555864086309133,0.01,2,pos,25/01/2021
7841,286,7,pos_1611595698081749007,0.01,2,pos,25/01/2021
33043,289,187,pos_1611649753549229187,0.01,2,pos,26/01/2021
44513,290,92,pos_1611626180229602092,0.01,2,pos,26/01/2021
29949,292,182,pos_1611685275202525182,0.01,2,pos,26/01/2021
41790,297,216,pos_1611657549289276216,0.01,2,pos,26/01/2021
17948,299,95,pos_1611625338279433095,0.01,2,pos,26/01/2021
10236,300,60,pos_1611657072128575060,0.01,2,pos,26/01/2021
26959,306,49,pos_1611753162156670049,0.01,2,pos,27/01/2021
30674,307,73,pos_1611744334236653073,0.01,2,pos,27/01/2021
2247,313,216,pos_1611708127748249216,0.01,2,pos,27/01/2021
8150,323,38,pos_1611810521189560038,0.01,2,pos,28/01/2021
46755,328,163,pos_1611899188992521163,0.01,2,pos,29/01/2021
25575,329,21,pos_1611907815193930021,0.01,2,pos,29/01/2021
11969,331,42,pos_1611890263376838042,0.01,2,pos,29/01/2021
11863,332,112,pos_1611928673931431112,0.01,2,pos,29/01/2021
24615,337,1123232323,pos_1611988521753107198,0.01,2,pos,30/01/2021
24010,338,57,pos_1611982955948973057,0.01,2,pos,30/01/2021
22429,341,81,pos_1611997584090541081,0.01,2,pos,30/01/2021
12800,343,14,pos_1611993911449502014,0.01,2,pos,30/01/2021
17295,344,311,pos_1611998015052453311,0.01,2,pos,30/01/2021
30243,345,70,pos_1612106608315979070,0.01,2,pos,31/01/2021
34365,346,101,pos_1612089955192986101,0.01,2,pos,31/01/2021
333,348,80,pos_1612089234325453080,0.01,2,pos,31/01/2021
33681,350,83,pos_1612102631215921083,0.01,2,pos,31/01/2021
13371,352,108,pos_1612093452500150108,0.01,2,pos,31/01/2021
34887,355,37,pos_1612079188085016037,0.01,2,pos,31/01/2021 
18334,357,63,pos_1612178784928516063,0.01,2,pos,1/2/2021
23025,358,25,pos_1612139570574783025,0.01,2,pos,1/2/2021
8466,360,90,pos_1612196826157472090,0.01,2,pos,1/2/2021
9900,361,62,pos_1612172115125301062,0.01,2,pos,1/2/2021
17523,363,5,pos_1612188214152371005,0.01,2,pos,1/2/2021
46872,369,64,pos_1612287561810021064,0.01,2,pos,2/2/2021
22874,371,42,pos_1612261955442240042,0.01,2,pos,2/2/2021
38739,377,21,pos_1612323892684507021,0.01,2,pos,3/2/2021
34744,378,176,pos_1612342898138626176,0.01,2,pos,3/2/2021
31666,379,64,pos_1612361718337531064,0.01,2,pos,3/2/2021
30433,382,96,pos_1612368427199954096,0.01,2,pos,3/2/2021
23677,383,141,pos_1612361839745854141,0.01,2,pos,3/2/2021
28774,391,41,pos_1612415651140973041,0.01,2,pos,4/2/2021
30040,393,215,pos_1612453214147615215,0.01,2,pos,4/2/2021
30623,394,236,pos_1612446942604200236,0.01,2,pos,4/2/2021
43627,397,54,pos_1612515122835462054,0.01,2,pos,5/2/2021
12350,414,69,pos_1612626986645701069,0.01,2,pos,6/2/2021
42658,418,12,pos_1612697332344872012,0.01,2,pos,7/2/2021
37520,425,78,pos_1612720099593618078,0.01,2,pos,7/2/2021
21265,430,18,pos_1612769126836483018,0.01,2,pos,8/2/2021
7287,432,21,pos_1612780202219223021,0.01,2,pos,8/2/2021
36045,434,71,pos_1612766480993297071,0.01,2,pos,8/2/2021
7145,437,76,pos_1612753261584818076,0.01,2,pos,8/2/2021
8699,438,175,pos_1612809993063042175,0.01,2,pos,8/2/2021
35219,441,170,pos_1612791828822930170,0.01,2,pos,8/2/2021
30560,442,36,pos_1612854274044518036,0.01,2,pos,9/2/2021
5564,446,81,pos_1612853185459884081,0.01,2,pos,9/2/2021
46938,448,142,pos_1612863613177942142,0.01,2,pos,9/2/2021
27629,449,5,pos_1612862513044356005,0.01,2,pos,9/2/2021
28936,464,172,pos_1612957154892468172,0.01,2,pos,10/2/2021
38609,465,11,pos_1612938140823712011,0.01,2,pos,10/2/2021
6105,466,20,pos_1613063265241693020,0.01,2,pos,11/2/2021
34574,468,27,pos_1613065581719880027,0.01,2,pos,11/2/2021
35748,470,56,pos_1613006857265973056,0.01,2,pos,11/2/2021
30141,473,32,pos_1613031453902778032,0.01,2,pos,11/2/2021
17578,475,90,pos_1613038566735629090,0.01,2,pos,11/2/2021
43867,478,161,pos_1613037577907768161,0.01,2,pos,11/2/2021
18082,480,102,pos_1613116152253024102,0.01,2,pos,12/2/2021
25925,490,28,pos_1613128452674508028,0.01,2,pos,12/2/2021
46180,492,20,pos_1613229802146052020,0.01,2,pos,13/02/2021
42034,494,45,pos_1613207758808800045,0.01,2,pos,13/02/2021
9384,496,40,pos_1613209457527504040,0.01,2,pos,13/02/2021
34074,500,11,pos_1613218242388263011,0.01,2,pos,13/02/2021
31794,510,166,pos_1613297809778983166,0.01,2,pos,14/02/2021
20083,511,266,pos_1613297646268142266,0.01,2,pos,14/02/2021
2362,516,205,pos_1613377249063517205,0.01,2,pos,15/02/2021
38863,520,291,pos_1613410945084557291,0.01,2,pos,15/02/2021
20871,525,35,pos_1613371962251782035,0.01,2,pos,15/02/2021
39745,526,195,pos_1613409603462459195,0.01,2,pos,15/02/2021
11905,529,186,pos_1613502015815383186,0.01,2,pos,16/02/2021
44488,531,126,pos_1613481815319836126,0.01,2,pos,16/02/2021
46267,535,94,pos_1613480124596514094,0.01,2,pos,16/02/2021
23632,539,90,pos_1613565077300609090,0.01,2,pos,17/02/2021
25869,541,7,pos_1613569356979620007,0.01,2,pos,17/02/2021
34640,542,197,pos_1613560380509420197,0.01,2,pos,17/02/2021
42736,547,277,pos_1613537328539799277,0.01,2,pos,17/02/2021
5804,555,104,pos_1613662459697505104,0.01,2,pos,18/02/2021
40839,557,127,pos_1613675856127074127,0.01,2,pos,18/02/2021
20767,563,88,pos_1613663212611244088,0.01,2,pos,18/02/2021
28687,564,24,pos_1613652203732612024,0.01,2,pos,18/02/2021
22629,567,34,pos_1613730344514067034,0.01,2,pos,19/02/2021
17267,568,61,pos_1613731551598807061,0.01,2,pos,19/02/2021
45840,571,103,pos_1613729819699799103,0.01,2,pos,19/02/2021
34193,575,25,pos_1613739458142172025,0.01,2,pos,19/02/2021
22904,577,136,pos_1613826647260065136,0.01,2,pos,20/02/2021
17662,579,122,pos_1613829169012560122,0.01,2,pos,20/02/2021
43827,582,46,pos_1613799192723016046,0.01,2,pos,20/02/2021
8530,585,8,pos_1613780962523495008,0.01,2,pos,20/02/2021
24818,586,106,pos_1613825037407046106,0.01,2,pos,20/02/2021
18360,588,20,pos_1613942603360693020,0.01,2,pos,21/02/2021
30129,590,289,pos_1613898408871889289,0.01,2,pos,21/02/2021
42001,591,208,pos_1613889818281523208,0.01,2,pos,21/02/2021
32698,593,15,pos_1613898936607779015,0.01,2,pos,21/02/2021
39159,595,17,pos_1613867797721378017,0.01,2,pos,21/02/2021
623,597,123232323,pos_1613902172020155098,0.01,2,pos,21/02/2021
27914,604,86,pos_1614001728571823086,0.01,2,pos,22/02/2021
18650,605,152,pos_1614017664432723152,0.01,2,pos,22/02/2021
32768,608,153,pos_1613996819147703153,0.01,2,pos,22/02/2021
24656,609,73,pos_1614023958717019073,0.01,2,pos,22/02/2021
973,612,14,pos_1613984975029588014,0.01,2,pos,22/02/2021
42745,613,158,pos_1614059277672936158,0.01,2,pos,23/02/2021
30394,616,75,pos_1614076322556690075,0.01,2,pos,23/02/2021
698,621,156,pos_1614098588404559156,0.01,2,pos,23/02/2021
42204,624,120,pos_1614081428815190120,0.01,2,pos,23/02/2021
18772,626,94,pos_1614187784147737094,0.01,2,pos,24/02/2021
15934,629,53,pos_1614174127700553053,0.01,2,pos,24/02/2021
20660,631,5,pos_1614165808354056005,0.01,2,pos,24/02/2021
3983,632,26,pos_1614186681404794026,0.01,2,pos,24/02/2021
27763,633,84,pos_1614179333467584084,0.01,2,pos,24/02/2021
15055,642,87,pos_1614263498546639087,0.01,2,pos,25/02/2021
19382,646,9,pos_1614332910331885009,0.01,2,pos,26/02/2021
8333,653,113,pos_1614315521199175113,0.01,2,pos,26/02/2021
28878,658,8,pos_1614431234169539008,0.01,2,pos,27/02/2021
33996,661,107,pos_1614398608264474107,0.01,2,pos,27/02/2021
46983,665,54,pos_1614445840340125054,0.01,2,pos,27/02/2021
22569,666,182,pos_1614455397814493182,0.01,2,pos,27/02/2021
34596,667,32,pos_1614430691234326032,0.01,2,pos,27/02/2021
35121,669,19,pos_1614414063064043019,0.01,2,pos,27/02/2021
29396,670,64,pos_1614504689735864064,0.01,2,pos,28/02/2021
32943,671,20,pos_1614539828848228020,0.01,2,pos,28/02/2021
16629,672,191,pos_1614528856082956191,0.01,2,pos,28/02/2021
13439,673,182,pos_1614506775778147182,0.01,2,pos,28/02/2021
1805,675,89,pos_1614531622992545089,0.01,2,pos,28/02/2021
12875,678,81,pos_1614491717035574081,0.01,2,pos,28/02/2021
11441,679,86,pos_1614521970075421086,0.01,2,pos,28/02/2021
16016,683,6,pos_1614503014984801006,0.01,2,pos,28/02/2021
37118,685,63,pos_1614558953808572063,0.01,2,pos,1/3/2021
22,688,48,pos_1614605578907974048,0.01,2,pos,1/3/2021
43164,689,203,pos_1614605003308135203,0.01,2,pos,1/3/2021
35348,691,100,pos_1614628328759020100,0.01,2,pos,1/3/2021
5558,694,49,pos_1614595459207028049,0.01,2,pos,1/3/2021
44050,698,106,pos_1614602117633869106,0.01,2,pos,1/3/2021
25195,699,37,pos_1614691749631519037,0.01,2,pos,2/3/2021
41135,701,34,pos_1614711691967004034,0.01,2,pos,2/3/2021
22608,702,183,pos_1614695928088677183,0.01,2,pos,2/3/2021
25159,703,59,pos_1614692484740677059,0.01,2,pos,2/3/2021
7064,705,5,pos_1614698165369256005,0.01,2,pos,2/3/2021
15329,709,60,pos_1614669594520371060,0.01,2,pos,2/3/2021
47257,712,31,pos_1614705151047517031,0.01,2,pos,2/3/2021
22375,714,108,pos_1614776045420464108,0.01,2,pos,3/3/2021
27861,715,193,pos_1614748638358769193,0.01,2,pos,3/3/2021
7088,718,50,pos_1614790324802162050,0.01,2,pos,3/3/2021
29354,719,25,pos_1614800272556143025,0.01,2,pos,3/3/2021
9967,720,5,pos_1614742542438120005,0.01,2,pos,3/3/2021
11621,724,53,pos_1614730566028287053,0.01,2,pos,3/3/2021
12422,727,39,pos_1614859237996515039,0.01,2,pos,4/3/2021
9008,729,148,pos_1614886220948427148,0.01,2,pos,4/3/2021
31746,730,222,pos_1614854837371538222,0.01,2,pos,4/3/2021
22010,731,232,pos_1614849989644799232,0.01,2,pos,4/3/2021
454,734,7,pos_1614859702872705007,0.01,2,pos,4/3/2021
20893,735,138,pos_1614829527116017138,0.01,2,pos,4/3/2021
44656,736,70,pos_1614849123734482070,0.01,2,pos,4/3/2021
42188,740,57,pos_1614931081238289057,0.01,2,pos,5/3/2021
23696,744,61,pos_1614936689298854061,0.01,2,pos,5/3/2021
17855,745,56,pos_1614946426593801056,0.01,2,pos,5/3/2021
37684,746,45,pos_1614954301315677045,0.01,2,pos,5/3/2021
20996,751,196,pos_1614950614113884196,0.01,2,pos,5/3/2021
44035,754,114,pos_1615039309511981114,0.01,2,pos,6/3/2021
28288,755,95,pos_1615044442244892095,0.01,2,pos,6/3/2021
33715,756,123232323,pos_1615019545864348098,0.01,2,pos,6/3/2021
24462,762,143,pos_1615036548485182143,0.01,2,pos,6/3/2021
19943,768,18,pos_1615091131428364018,0.01,2,pos,7/3/2021
5432,774,174,pos_1615092071324935174,0.01,2,pos,7/3/2021
6444,775,112,pos_1615136467168342112,0.01,2,pos,7/3/2021
27485,777,194,pos_1615146586925130194,0.01,2,pos,7/3/2021
36473,781,81,pos_1615183568364264081,0.01,2,pos,8/3/2021
15254,783,5,pos_1615197064830550005,0.01,2,pos,8/3/2021
23997,787,6,pos_1615189783888831006,0.01,2,pos,8/3/2021
11723,788,58,pos_1615205364641368058,0.01,2,pos,8/3/2021
21510,793,238,pos_1615216598875153238,0.01,2,pos,8/3/2021
23916,796,58,pos_1615266282139880058,0.01,2,pos,9/3/2021
17086,800,108,pos_1615280956810616108,0.01,2,pos,9/3/2021
507,801,68,pos_1615282445057948068,0.01,2,pos,9/3/2021
42079,802,88,pos_1615295108573278088,0.01,2,pos,9/3/2021
37728,807,8,pos_1615303764380039008,0.01,2,pos,9/3/2021
43309,810,74,pos_1615377412210037074,0.01,2,pos,10/3/2021
12198,813,31,pos_1615386332655935031,0.01,2,pos,10/3/2021
12219,814,224,pos_1615370513374976224,0.01,2,pos,10/3/2021
3245,818,157,pos_1615386156829640157,0.01,2,pos,10/3/2021
43531,821,205,pos_1615382556266923205,0.01,2,pos,10/3/2021
26656,826,153,pos_1615482290419074153,0.01,2,pos,11/3/2021
4220,828,87,pos_1615482163334695087,0.01,2,pos,11/3/2021
10979,829,17,pos_1615439128029678017,0.01,2,pos,11/3/2021
42800,831,5,pos_1615453244269195005,0.01,2,pos,11/3/2021
11459,833,18,pos_1615480218084851018,0.01,2,pos,11/3/2021
14735,834,61,pos_1615438852871301061,0.01,2,pos,11/3/2021
7570,839,159,pos_1615543308222246159,0.01,2,pos,12/3/2021
33130,840,203,pos_1615535108324996203,0.01,2,pos,12/3/2021
17163,846,107,pos_1615550973896792107,0.01,2,pos,12/3/2021
43190,847,251,pos_1615548621007274251,0.01,2,pos,12/3/2021
28773,850,284,pos_1615562956536168284,0.01,2,pos,12/3/2021
47050,851,175,pos_1615575098148516175,0.01,2,pos,12/3/2021
7116,859,108,pos_1615625879306405108,0.01,2,pos,13/03/2021
42324,861,161,pos_1615636495829243161,0.01,2,pos,13/03/2021
26676,862,165,pos_1615649044586032165,0.01,2,pos,13/03/2021
18642,863,120,pos_1615627497175158120,0.01,2,pos,13/03/2021
9973,866,33,pos_1615643788462580033,0.01,2,pos,13/03/2021
27628,867,214,pos_1615645578034989214,0.01,2,pos,13/03/2021
45621,871,72,pos_1615706793079957072,0.01,2,pos,14/03/2021
36365,872,18,pos_1615698114813262018,0.01,2,pos,14/03/2021
14213,873,81,pos_1615728553173703081,0.01,2,pos,14/03/2021
37330,878,136,pos_1615735254216908136,0.01,2,pos,14/03/2021
15935,881,116,pos_1615815256980523116,0.01,2,pos,15/03/2021
23425,882,46,pos_1615803739152072046,0.01,2,pos,15/03/2021
15580,885,39,pos_1615847704480092039,0.01,2,pos,15/03/2021
33539,886,31,pos_1615815741499622031,0.01,2,pos,15/03/2021
27525,892,214,pos_1615786350487612214,0.01,2,pos,15/03/2021
9906,896,42,pos_1615906131162393042,0.01,2,pos,16/03/2021
34545,899,146,pos_1615891360486298146,0.01,2,pos,16/03/2021
42571,900,30,pos_1615918619850183030,0.01,2,pos,16/03/2021
22822,903,115,pos_1615910032315051115,0.01,2,pos,16/03/2021
27129,910,171,pos_1615987488850249171,0.01,2,pos,17/03/2021
39518,915,89,pos_1615984688057155089,0.01,2,pos,17/03/2021
20939,916,57,pos_1615952496179732057,0.01,2,pos,17/03/2021
41053,925,165,pos_1616032735552872165,0.01,2,pos,18/03/2021
43434,929,137,pos_1616044875099605137,0.01,2,pos,18/03/2021
19336,931,25,pos_1616064009133828025,0.01,2,pos,18/03/2021
42957,936,92,pos_1616151608314619092,0.01,2,pos,19/03/2021
18745,939,102,pos_1616173746505102102,0.01,2,pos,19/03/2021
1314,940,73,pos_1616152339710946073,0.01,2,pos,19/03/2021
45308,942,230,pos_1616180652974215230,0.01,2,pos,19/03/2021
3209,943,215,pos_1616156632465957215,0.01,2,pos,19/03/2021
17812,947,136,pos_1616158479712261136,0.01,2,pos,19/03/2021
28502,948,62,pos_1616117179124214062,0.01,2,pos,19/03/2021
32536,950,128,pos_1616270098657424128,0.01,2,pos,20/03/2021
3224,951,96,pos_1616252739001597096,0.01,2,pos,20/03/2021
10088,954,71,pos_1616266024984192071,0.01,2,pos,20/03/2021
30591,955,71,pos_1616226617062933071,0.01,2,pos,20/03/2021
10144,959,289,pos_1616240768999408289,0.01,2,pos,20/03/2021
44594,964,87,pos_1616314412346620087,0.01,2,pos,21/03/2021
7798,967,45,pos_1616339348705755045,0.01,2,pos,21/03/2021
10119,969,162,pos_1616334653753896162,0.01,2,pos,21/03/2021
47331,970,227,pos_1616347824162946227,0.01,2,pos,21/03/2021
10787,972,12,pos_1616337226797036012,0.01,2,pos,21/03/2021
27776,974,63,pos_1616311934101576063,0.01,2,pos,21/03/2021
13823,975,10,pos_1616386961663276010,0.01,2,pos,22/03/2021
15982,978,96,pos_1616422115546429096,0.01,2,pos,22/03/2021
35532,979,5,pos_1616429962938464005,0.01,2,pos,22/03/2021
40794,981,103,pos_1616418197293527103,0.01,2,pos,22/03/2021
16773,982,46,pos_1616390916556965046,0.01,2,pos,22/03/2021
5787,985,102,pos_1616428958286383102,0.01,2,pos,22/03/2021
32674,987,75,pos_1616447610851098075,0.01,2,pos,22/03/2021
46090,993,46,pos_1616495895765151046,0.01,2,pos,23/03/2021
6313,995,69,pos_1616522333826413069,0.01,2,pos,23/03/2021
25736,996,12,pos_1616520795539543012,0.01,2,pos,23/03/2021
45258,998,60,pos_1616478867138517060,0.01,2,pos,23/03/2021
15237,1003,66,pos_1616524974880413066,0.01,2,pos,23/03/2021
33529,1005,207,pos_1616567730939277207,0.01,2,pos,24/03/2021
10983,1006,10,pos_1616599774185009010,0.01,2,pos,24/03/2021
46357,1007,69,pos_1616576326812458069,0.01,2,pos,24/03/2021
41335,1010,38,pos_1616561998686864038,0.01,2,pos,24/03/2021
22056,1014,276,pos_1616593073962438276,0.01,2,pos,24/03/2021
17774,1016,137,pos_1616579846765194137,0.01,2,pos,24/03/2021
47170,1017,80,pos_1616588367747228080,0.01,2,pos,24/03/2021
30010,1023,28,pos_1616672103306916028,0.01,2,pos,25/03/2021
45353,1027,75,pos_1616669497950532075,0.01,2,pos,25/03/2021
2304,1032,63,pos_1616747295800148063,0.01,2,pos,26/03/2021
21788,1041,83,pos_1616743406914856083,0.01,2,pos,26/03/2021
37329,1043,1123232323,pos_1616757798849739198,0.01,2,pos,26/03/2021
4620,1047,57,pos_1616871258182874057,0.01,2,pos,27/03/2021
5267,1051,87,pos_1616867837271535087,0.01,2,pos,27/03/2021
27982,1053,22,pos_1616843828424567022,0.01,2,pos,27/03/2021
32268,1058,106,pos_1616849082709261106,0.01,2,pos,27/03/2021
27561,1059,108,pos_1616909027880722108,0.01,2,pos,28/03/2021
22087,1061,76,pos_1616930118890087076,0.01,2,pos,28/03/2021
38167,1069,26,pos_1616922820245015026,0.01,2,pos,28/03/2021
9147,1071,159,pos_1616926017987634159,0.01,2,pos,28/03/2021
38422,1077,49,pos_1617025788072097049,0.01,2,pos,29/03/2021
9650,1083,205,pos_1617035535911936205,0.01,2,pos,29/03/2021
31736,1085,123232323,pos_1616978195965351098,0.01,2,pos,29/03/2021
35879,1093,29,pos_1617122849195739029,0.01,2,pos,30/03/2021
23707,1099,108,pos_1617094770215715108,0.01,2,pos,30/03/2021
6271,1101,313,pos_1617108468869834313,0.01,2,pos,30/03/2021
9449,1106,49,pos_1617196769455000049,0.01,2,pos,31/03/2021
5113,1109,87,pos_1617176524300649087,0.01,2,pos,31/03/2021
22568,1111,147,pos_1617202625292212147,0.01,2,pos,31/03/2021
33491,1112,83,pos_1617171150383883083,0.01,2,pos,31/03/2021
4024,1116,13,pos_1617263535626511013,0.01,2,pos,1/4/2021
24118,1118,28,pos_1617308193990274028,0.01,2,pos,1/4/2021
37804,1123,136,pos_1617296443779835136,0.01,2,pos,1/4/2021
17168,1124,220,pos_1617260814233686220,0.01,2,pos,1/4/2021
20567,1125,18,pos_1617294076627081018,0.01,2,pos,1/4/2021
34132,1127,358,pos_1617277274281542358,0.01,2,pos,1/4/2021
41215,1128,28,pos_1617299298506246028,0.01,2,pos,1/4/2021
16653,1130,59,pos_1617295563178412059,0.01,2,pos,1/4/2021
14957,1132,149,pos_1617360148546278149,0.01,2,pos,2/4/2021
43846,1134,75,pos_1617380479640678075,0.01,2,pos,2/4/2021
18654,1138,103,pos_1617343724840189103,0.01,2,pos,2/4/2021
47159,1142,81,pos_1617341617070288081,0.01,2,pos,2/4/2021
40737,1144,82,pos_1617395640196965082,0.01,2,pos,2/4/2021
27545,1155,27,pos_1617481032050853027,0.01,2,pos,3/4/2021
20325,1156,107,pos_1617413891308766107,0.01,2,pos,3/4/2021
41626,1163,229,pos_1617537425058211229,0.01,2,pos,4/4/2021
22043,1165,31,pos_1617542841583322031,0.01,2,pos,4/4/2021
5237,1169,11,pos_1617547357429363011,0.01,2,pos,4/4/2021
768,1178,67,pos_1617603241721343067,0.01,2,pos,5/4/2021
14407,1180,66,pos_1617598542246845066,0.01,2,pos,5/4/2021
26055,1186,47,pos_1617728495161984047,0.01,2,pos,6/4/2021
29559,1189,20,pos_1617687691797375020,0.01,2,pos,6/4/2021
25017,1191,97,pos_1617726992055367097,0.01,2,pos,6/4/2021
38180,1192,156,pos_1617702474384975156,0.01,2,pos,6/4/2021
